"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL1970118";"";"None";"388.38";"0";"4.64";"SID51089738";"O=C(O)c1ccc(N=N/C(=N\Nc2ccc(C(=O)O)cc2)c2ccccc2)cc1";"IC50";"";"30390.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1303426";"";"None";"400.78";"0";"3.33";"SID24804310";"Cc1c(Nc2cc(Cl)c3nonc3c2[N+](=O)[O-])c(=O)n(-c2ccccc2)n1C";"IC50";"";"21440.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1563370";"";"None";"308.77";"0";"4.06";"SID24798052";"CC(C)C1Nc2c(O)cc(Cl)c([N+](=O)[O-])c2C2C=CCC21";"IC50";"";"68880.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL210208";"PYROGALLOL RED";"None";"400.36";"0";"2.93";"SID57264392";"O=c1ccc2c(-c3ccccc3S(=O)(=O)O)c3ccc(O)c(O)c3oc-2c1O";"IC50";"";"4060.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1382785";"";"None";"553.53";"1";"4.42";"SID24838008";"O=C(O)c1ccccc1NS(=O)(=O)c1ccc(NN=C(S)Nc2ccc(OC(F)F)cc2)c([N+](=O)[O-])c1";"IC50";"";"18530.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1558183";"";"None";"293.37";"0";"3.61";"SID49673088";"CCN(CC)c1ccc(N=C2C(=O)Nc3ccccc32)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1382968";"";"None";"478.55";"0";"2.83";"SID49729894";"O=C1/C(=C2\C(=O)N(Cc3ccc(F)cc3)c3ccccc32)SC(=S)N1CCS(=O)(=O)O";"IC50";"";"32500.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL63883";"";"None";"293.32";"0";"3.81";"SID49725024";"COc1ccc(NC(=O)c2cc3ccccc3cc2O)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1601789";"";"None";"453.09";"0";"4.17";"SID49667876";"O=C(O)COc1ccc(Br)cc1/C=C1\C(=O)Nc2ccc(Br)cc21";"IC50";"";"29320.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1383256";"";"None";"501.37";"1";"4.29";"SID49724882";"O=C(O)c1ccc(Cl)c(S(=O)(=O)Nc2ccc(S(=O)(=O)Nc3cccc(Cl)c3)cc2)c1";"IC50";"";"65680.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1333250";"";"None";"426.48";"0";"3.55";"SID49724792";"O=C(O)c1ccccc1NS(=O)(=O)c1cccc(-n2sc3ccccc3c2=O)c1";"IC50";"";"46440.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL4636584";"";"None";"796.63";"2";"7.14";"54";"N=C(N)NCc1ccc(CNC(=O)[C@H](NC(=O)c2ccc(Oc3ccccc3)cc2)c2ccc(OCc3ccc(Cl)c(Cl)c3)cc2)cc1.O=C(O)C(F)(F)F";"IC50";"'='";"2500.0";"nM";"5.60";"";"";"UO_0000065";"8.21";"0.16";"-1.54";"4.04";"0";"CHEMBL4621577";"Inhibition of Dengue virus serotype 2 NS2B-NS3 protease expressed in Escherichia coli BL21 lambda (DE3) cells using Abz-Nle-Lys-Arg-Arg-Ser-3-(NO2)Tyr as substrate preincubated for 15 mins followed by substrate addition and measured for 15 mins by FRET assay";"B";"BAO_0000219";"cell-based format";"dengue virus type 2";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL4619777";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";""
"CHEMBL1536153";"";"None";"432.43";"0";"4.20";"SID49665412";"Cc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c(C(=O)O)c1";"IC50";"";"22290.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1613608";"";"None";"578.58";"1";"3.90";"SID24823749";"O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C(=O)c2cc(S(=O)(=O)Nc4ccc(C(=O)O)cc4)ccc2-3)cc1";"IC50";"";"95910.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL3197091";"";"None";"474.54";"0";"4.68";"SID49716137";"Cc1cc(C)c(S(=O)(=O)/N=C2\C=C(Nc3ccc(C(=O)O)cc3)C(=O)c3ccccc32)c(C)c1";"IC50";"";"21160.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL3197651";"";"None";"258.28";"0";"2.56";"SID26724231";"Cc1cccc(N/N=C/c2ccc(O)c(O)c2O)c1";"IC50";"";"32640.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1404302";"";"None";"335.27";"0";"0.79";"SID26725738";"CCOc1cc(/C=C2\C(=O)NC(=O)N(C)C2=O)cc([N+](=O)[O-])c1O";"IC50";"";"19860.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1347107";"";"None";"408.41";"0";"3.39";"SID24787030";"COC(=O)c1ccc(-c2ccc(C(c3c(C)n[nH]c3O)c3c(C)n[nH]c3O)o2)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL3196993";"";"None";"378.41";"0";"0.79";"SID24837012";"O=C(Cc1csc(N2CCOCC2)n1)N/N=C/c1ccc(O)c(O)c1O";"IC50";"'>'";"100000.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL175434";"";"None";"328.35";"0";"1.55";"SID47202339";"NS(=O)(=O)c1ccc(NC2=CC(=O)C(=O)c3ccccc32)cc1";"IC50";"";"39000.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL3144970";"";"None";"445.94";"1";"5.05";"SID17507601";"Cc1[nH]n(-c2ncc(-c3ccccc3)s2)c(=O)c1C(c1ccc(Cl)cc1)C(C#N)C#N";"IC50";"";"31920.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1522210";"";"None";"505.32";"2";"5.69";"SID47202252";"O=C(O)c1[nH]c2ccccc2c1C(c1cc(Br)ccc1O)c1c(C(=O)O)[nH]c2ccccc12";"IC50";"";"15980.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1534470";"";"None";"270.24";"0";"3.32";"SID24823069";"O=Cc1cc(N=Nc2cccc(C(=O)O)c2)ccc1O";"IC50";"";"99550.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
